Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results,Progress results date,Preliminary results announced,Other elections,Other elections were:,Poles,Poles were:,Voting papers order,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Number of Special votes,Residential Special votes allowed,Ratepayer Special votes allowed,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable position,"Council candidates sitting members 
(N)","Council candidates sitting members 
(%)","Also candidates for Mayor 
(N)",Council member elected Mayor,Sitting Mayor,Council members re-elected (N),"Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates board members 
(N)","Candidates board members 
(%)","Board members elected 
(N)","Board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Special votes cast 
(N)","Special votes cast 
(%)","Residential special votes allowed 
(N)","Ratepayer special votes allowed 
(N)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)"
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,WESTERN,DC,FPP,n,Northland,Provincial,District,,,,,,,,,,,,,,,,,2,0,8,4.00,"3,757","1,640",1,12.5%,1,,,1,50.0%,1,,2,25.0%,1,50.0%,"7,485",29,0.39%,"7,514","13,350",56.3%,"7,485",29,"7,514","3,257",43.5%,22,75.9%,"3,279",43.6%,68,2.1%,27,1,28,41.2%,22,0.7%,80,2.4%,102,3.1%,3,37.5%,1,50.0%
FRANKLIN DISTRICT,ONEWHERO-TUAKAU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,5,1.25,"1,315",424,,,,,,,,,,2,40.0%,2,50.0%,"5,231",29,0.55%,"5,260","8,660",60.7%,"5,231",29,"5,260","1,676",32.0%,20,69.0%,"1,696",32.2%,9,0.5%,8,1,9,100.0%,4,0.2%,90,5.3%,94,5.5%,3,60.0%,2,50.0%
FRANKLIN DISTRICT,WAIUKU-AWHITU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Provincial,District,,,,,,,,,,,,,,,,At large,4,4,4,1.00,"2,566",,,,,,,,,,,3,75.0%,3,75.0%,"10,201",61,0.59%,"10,262","15,350",66.9%,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%
FRANKLIN DISTRICT,FRANKLIN DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Auckland,Provincial,District,,No,,14:00:00,Yes,"Auckland Regional Council, Waikato Regional Council, Counties Manukau District Health Board",No,,Alphabetical order,40136,431,58,56,41,7,,1,0,2,2.00,"40,136","13,775",1,50.0%,0,y,Re-elected,1,100.0%,1,,,,,,"39,981",155,0.39%,"40,136","62,100",64.6%,"39,981",155,"40,136","13,651",34.1%,124,80.0%,"13,775",34.3%,56,0.4%,41,7,48,85.7%,8,0.1%,313,2.3%,321,2.3%,0,0.0%,0,0.0%
FRANKLIN DISTRICT,FRANKLIN DISTRICT COUNCIL,NORTHERN,DC,FPP,n,Auckland,Provincial,District,,,,,,,,,,,,,,,,Unopposed,3,3,3,1.00,"3,396",,3,100.0%,0,,,3,100.0%,3,,0,0.0%,0,0.0%,"10,168",21,0.21%,"10,189","15,450",65.9%,,,,,,,,,,,,,,,,,,,,,,2,66.7%,2,66.7%
FRANKLIN DISTRICT,FRANKLIN DISTRICT COUNCIL,PUKEKOHE,DC,FPP,n,Auckland,Provincial,District,,,,,,,,,,,,,,,,,3,0,4,1.33,"3,524","1,259",3,75.0%,0,,,3,100.0%,3,,0,0.0%,0,0.0%,"10,553",20,0.19%,"10,573","16,800",62.9%,"10,553",20,"10,573","3,763",35.7%,15,75.0%,"3,778",35.7%,12,0.3%,10,2,12,100.0%,2,0.1%,126,3.3%,128,3.4%,0,0.0%,0,0.0%
FRANKLIN DISTRICT,FRANKLIN DISTRICT COUNCIL,SOUTHERN,DC,FPP,n,Auckland,Provincial,District,,,,,,,,,,,,,,,,,3,0,5,1.67,"3,036",958,3,60.0%,0,,,2,66.7%,2,,1,20.0%,0,0.0%,"9,059",50,0.55%,"9,109","14,500",62.8%,"9,059",50,"9,109","2,838",31.3%,35,70.0%,"2,873",31.5%,9,0.3%,7,1,8,88.9%,21,0.7%,124,4.3%,145,5.0%,1,20.0%,1,33.3%
FRANKLIN DISTRICT,FRANKLIN DISTRICT COUNCIL,WAIUKU-AWHITU,DC,FPP,n,Auckland,Provincial,District,,,,,,,,,,,,,,,,,3,0,5,1.67,"3,422","1,286",3,60.0%,0,,,2,66.7%,2,,0,0.0%,0,0.0%,"10,201",64,0.62%,"10,265","15,350",66.9%,"10,201",64,"10,265","3,806",37.3%,52,81.3%,"3,858",37.6%,14,0.4%,9,2,11,78.6%,21,0.5%,70,1.8%,91,2.4%,2,40.0%,0,0.0%
GISBORNE DISTRICT,TAIRAWHITI DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Gisborne,DHB,DHB,,,,,,,,,Alphabetical order,,,,,,,,7,0,19,2.71,"4,215","2,197",,,,,,,,,,7,36.8%,6,85.7%,"29,506",,,"29,506","45,900",64.3%,"29,506",,"29,506","15,379",52.1%,,,"15,379",52.1%,318,2.1%,304,,304,95.6%,792,5.1%,681,4.4%,"1,473",9.6%,9,47.4%,4,57.1%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Gisborne,Provincial,District,,No,,15:35:00,No,,No,,Alphabetical order,29523,700,120,318,214,14,,1,0,2,2.00,"29,523","15,393",1,50.0%,0,y,Re-elected,1,100.0%,1,,,,,,"29,506",17,0.06%,"29,523","45,930",64.3%,"29,506",17,"29,523","15,379",52.1%,14,82.4%,"15,393",52.1%,318,2.1%,214,9,223,70.1%,7,0.0%,388,2.5%,395,2.6%,0,0.0%,0,0.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,COOK,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,123",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,122",1,0.09%,"1,123","1,740",64.5%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,GISBORNE,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,,8,0,17,2.13,"2,651","1,337",7,41.2%,0,,,7,87.5%,7,,0,0.0%,0,0.0%,"21,200",8,0.04%,"21,208","32,500",65.3%,"21,200",8,"21,208","10,690",50.4%,4,50.0%,"10,694",50.4%,234,2.2%,157,4,161,68.8%,36,0.3%,18,0.2%,54,0.5%,4,23.5%,2,25.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,MATAKAOA,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,,1,0,4,4.00,954,522,1,25.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,952,2,0.21%,954,"1,810",52.7%,952,2,954,521,54.7%,1,50.0%,522,54.7%,20,3.8%,12,1,13,65.0%,1,0.2%,14,2.7%,15,2.9%,1,25.0%,1,100.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,TARUHERU-PATUTAHI,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,,1,0,3,3.00,"2,560","1,526",1,33.3%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,559",1,0.04%,"2,560","3,680",69.6%,"2,559",1,"2,560","1,525",59.6%,1,100.0%,"1,526",59.6%,14,0.9%,13,1,14,100.0%,3,0.2%,73,4.8%,76,5.0%,1,33.3%,0,0.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,UAWA,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,218",671,1,50.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,216",2,0.16%,"1,218","1,960",62.1%,"1,216",2,"1,218",669,55.0%,2,100.0%,671,55.1%,12,1.8%,11,1,12,100.0%,0,0.0%,15,2.2%,15,2.2%,2,100.0%,1,100.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,WAIAPU,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,259",636,1,50.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,256",3,0.24%,"1,259","2,190",57.5%,"1,256",3,"1,259",635,50.6%,1,33.3%,636,50.5%,9,1.4%,8,1,9,100.0%,0,0.0%,24,3.8%,24,3.8%,1,50.0%,0,0.0%
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,WAIKOHU,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,,,,,,,1,0,3,3.00,"1,201",757,1,33.3%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,201",0,0.00%,"1,201","2,050",58.6%,"1,201",0,"1,201",757,63.0%,0,,757,63.0%,14,1.8%,14,0,14,100.0%,1,0.1%,8,1.1%,9,1.2%,0,0.0%,0,0.0%
GORE DISTRICT,SOUTHLAND DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Southland,DHB,DHB,,,,18:30:00,,,,,Alphabetical order,,,,,,,,7,0,18,2.57,"10,911","5,652",,,,,,,,,,6,33.3%,5,71.4%,"76,377",,,"76,377","110,400",69.2%,"76,377",,"76,377","39,564",51.8%,,,"39,564",51.8%,408,1.0%,328,,328,80.4%,3213,8.1%,3665,9.3%,"6,878",17.4%,8,44.4%,4,57.1%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 1 TAPANUI,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,299",,,,,,,,,,,0,0.0%,0,0.0%,"1,299",,,"1,299",,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 2 GORE,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,,3,0,4,1.33,"1,927","1,241",,,,,,,,,,3,75.0%,3,100.0%,"5,781",,,"5,781",,,"5,781",,"5,781","3,724",64.4%,,,"3,724",64.4%,24,0.6%,23,,23,95.8%,1,0.0%,235,6.3%,236,6.3%,1,25.0%,1,33.3%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 3 MATAURA,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,073",558,,,,,,,,,,1,50.0%,1,100.0%,"1,073",,,"1,073",,,"1,073",,"1,073",558,52.0%,,,558,52.0%,5,0.9%,5,,5,100.0%,0,0.0%,23,4.1%,23,4.1%,0,0.0%,0,0.0%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 4 RURAL,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,649",,,,,,,,,,,1,100.0%,1,100.0%,"1,649",,,"1,649",,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 5 EDENDALE,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,401",,,,,,,,,,,1,100.0%,1,100.0%,"1,401",,,"1,401",,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 6 WYNDHAM,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,665,,,,,,,,,,,1,100.0%,1,100.0%,665,,,665,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 7 TOKANUI,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,580,,,,,,,,,,,1,100.0%,1,100.0%,580,,,580,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GORE DISTRICT,MATAURA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,At large,5,5,5,1.00,215,,,,,,,,,,,2,40.0%,2,40.0%,"1,075",2,0.19%,"1,077","1,570",68.6%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GORE DISTRICT,GORE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Southland,Rural,District,,No,,12:30:00,Yes,"Mataura Licensing Trust, Gore Health Incorporated",No,,Alphabetical order,8999,95,21,55,35,2,,1,0,2,2.00,"8,999","5,707",1,50.0%,0,y,Re-elected,1,100.0%,1,,,,,,"8,987",12,0.13%,"8,999","12,270",73.3%,"8,987",12,"8,999","5,695",63.4%,12,100.0%,"5,707",63.4%,55,1.0%,35,2,37,67.3%,10,0.2%,110,1.9%,120,2.1%,0,0.0%,0,0.0%
GORE DISTRICT,GORE DISTRICT COUNCIL,GORE,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,,5,0,12,2.40,"1,158",747,2,16.7%,0,,,1,20.0%,1,,1,8.3%,1,20.0%,"5,781",10,0.17%,"5,791","7,580",76.4%,"5,781",10,"5,791","3,724",64.4%,11,110.0%,"3,735",64.5%,24,0.6%,23,1,24,100.0%,9,0.2%,52,1.4%,61,1.6%,1,8.3%,0,0.0%
GORE DISTRICT,GORE DISTRICT COUNCIL,GORE DISTRICT AT LARGE,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,,3,0,9,3.00,"3,000","1,986",3,33.3%,0,,,2,66.7%,2,,0,0.0%,0,0.0%,"8,987",12,0.13%,"8,999","12,270",73.3%,"8,987",12,"8,999","5,946",66.2%,13,108.3%,"5,959",66.2%,55,0.9%,36,3,39,70.9%,24,0.4%,176,3.0%,200,3.4%,3,33.3%,1,33.3%
GORE DISTRICT,GORE DISTRICT COUNCIL,KAIWERA-WAIMUMU,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,192",819,1,50.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"1,192",0,0.00%,"1,192","1,700",70.1%,"1,192",0,"1,192",817,68.5%,2,,819,68.7%,7,0.9%,5,2,7,100.0%,3,0.4%,55,6.7%,58,7.1%,1,50.0%,0,0.0%
GORE DISTRICT,GORE DISTRICT COUNCIL,MATAURA,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,075",563,1,50.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,073",2,0.19%,"1,075","1,570",68.5%,"1,073",2,"1,075",563,52.5%,0,0.0%,563,52.4%,5,0.9%,5,0,5,100.0%,9,1.6%,11,2.0%,20,3.6%,0,0.0%,0,0.0%
GORE DISTRICT,GORE DISTRICT COUNCIL,WAIKAKA,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,941,,0,0.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,941,0,0.00%,941,"1,420",66.3%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GREY DISTRICT,GREY DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,West Coast,Rural,District,,Yes,12.30pm 13/10/2007,2pm,Yes,Development West Coast,No,,Pseudo-random order,9726,88,21,25,24,0,Unopposed,1,1,1,1.00,"9,726",,1,100.0%,0,y,Unopposed,1,100.0%,1,,,,,,"9,689",37,0.38%,"9,726","13,600",71.5%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
GREY DISTRICT,GREY DISTRICT COUNCIL,CENTRAL,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,4,0,8,2.00,"1,208",672,4,50.0%,0,,,3,75.0%,3,,0,0.0%,0,0.0%,"4,829",3,0.06%,"4,832","6,750",71.6%,"4,829",3,"4,832","2,683",55.6%,3,100.0%,"2,686",55.6%,18,0.7%,18,0,18,100.0%,6,0.2%,17,0.6%,23,0.9%,3,37.5%,1,25.0%
GREY DISTRICT,GREY DISTRICT COUNCIL,EASTERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,2,0,6,3.00,"1,088",614,1,16.7%,0,,,1,50.0%,1,,0,0.0%,0,0.0%,"2,150",26,1.19%,"2,176","3,200",68.0%,"2,150",26,"2,176","1,210",56.3%,18,69.2%,"1,228",56.4%,1,0.1%,0,0,0,0.0%,1,0.1%,19,1.5%,20,1.6%,1,16.7%,0,0.0%
GREY DISTRICT,GREY DISTRICT COUNCIL,NORTHERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,202",562,1,50.0%,0,,,1,100.0%,1,,1,50.0%,0,0.0%,"1,199",3,0.25%,"1,202","1,600",75.1%,"1,199",3,"1,202",560,46.7%,2,66.7%,562,46.8%,2,0.4%,2,0,2,100.0%,0,0.0%,16,2.8%,16,2.8%,0,0.0%,0,0.0%
GREY DISTRICT,GREY DISTRICT COUNCIL,SOUTHERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,1,0,3,3.00,"1,516",988,1,33.3%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"1,511",5,0.33%,"1,516","2,050",74.0%,"1,511",5,"1,516",985,65.2%,3,60.0%,988,65.2%,4,0.4%,4,0,4,100.0%,2,0.2%,26,2.6%,28,2.8%,0,0.0%,0,0.0%
GREY DISTRICT,WEST COAST REGIONAL COUNCIL,BULLER,RC,FPP,s,West Coast,Regional,Regional,,,,,,,,,,,,,,,,,2,0,5,2.50,"3,624","2,227",1,20.0%,,,,1,50.0%,,,,,,,"7,205",42,0.58%,"7,247","9,960",72.8%,"7,205",42,"7,247","4,410",61.2%,43,102.4%,"4,453",61.4%,51,1.1%,42,5,47,92.2%,3,0.1%,447,10.0%,450,10.1%,0,0.0%,0,0.0%
GREY DISTRICT,WEST COAST REGIONAL COUNCIL,GREY,RC,FPP,s,West Coast,Regional,Regional,,,,,,,,,,,,,,,,,3,0,5,1.67,"3,242","1,821",2,40.0%,,,,1,33.3%,,,,,,,"9,689",37,0.38%,"9,726","13,600",71.5%,"9,689",37,"9,726","5,438",56.1%,26,70.3%,"5,464",56.2%,25,0.5%,24,0,24,96.0%,20,0.4%,122,2.2%,142,2.6%,0,0.0%,0,0.0%
GREY DISTRICT,WEST COAST REGIONAL COUNCIL,WESTLAND,RC,FPP,s,West Coast,Regional,Regional,,,,,,,,,,,,,,,,,2,0,4,2.00,"2,883","1,532",2,50.0%,,,,2,100.0%,,,,,,,"5,710",56,0.97%,"5,766","8,690",66.4%,"5,710",56,"5,766","3,035",53.2%,28,50.0%,"3,063",53.1%,6,0.2%,3,3,6,100.0%,12,0.4%,100,3.3%,112,3.7%,0,0.0%,0,0.0%
WAIKATO DISTRICT HEALTH BOARD,WAIKATO DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Waikato,DHB,DHB,,,,,,,,,Alphabetical order,,,,,,,,7,0,26,3.71,"33,319","11,903",,,,,,,,,,3,11.5%,3,42.9%,"233,231",,,"233,231","353,100",66.1%,"233,231",,"233,231","83,320",35.7%,,,"83,320",35.7%,546,0.7%,498,,498,91.2%,6554,7.9%,6510,7.8%,"13,064",15.7%,13,50.0%,2,28.6%
HAMILTON CITY,HAMILTON CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Metro,City,,Yes,13/10/07 @ 12.04,19:23:00,No,,No,,Alphabetical order,88950,1221,Statistic not collected,307,245,0,,1,0,7,7.00,"88,950","31,540",3,42.9%,5,,Stood down,0,0.0%,1,,,,,,"88,807",143,0.16%,"88,950","136,500",65.2%,"88,807",143,"88,950","31,427",35.4%,113,79.0%,"31,540",35.5%,307,1.0%,245,0,245,79.8%,59,0.2%,746,2.4%,805,2.6%,0,0.0%,0,0.0%
HAMILTON CITY,HAMILTON CITY COUNCIL,EAST,CC,FPP,n,Waikato,Metro,City,,,,,,,,,,,,,,,,,6,0,14,2.33,"7,331","2,715",6,42.9%,3,,,6,100.0%,6,,0,0.0%,0,0.0%,"43,923",64,0.15%,"43,987","68,000",64.7%,"43,923",64,"43,987","16,238",37.0%,54,84.4%,"16,292",37.0%,162,1.0%,128,0,128,79.0%,46,0.3%,219,1.3%,265,1.6%,6,42.9%,3,50.0%
HAMILTON CITY,HAMILTON CITY COUNCIL,WEST,CC,FPP,n,Waikato,Metro,City,,,,,,,,,,,,,,,,,6,0,10,1.67,"7,494","2,541",5,50.0%,2,y,,4,66.7%,4,,0,0.0%,0,0.0%,"44,884",79,0.18%,"44,963","68,500",65.6%,"44,884",79,"44,963","15,178",33.8%,70,88.6%,"15,248",33.9%,142,0.9%,117,0,117,82.4%,29,0.2%,252,1.7%,281,1.8%,3,30.0%,3,50.0%
HASTINGS DISTRICT,HAWKES BAY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Hawke's Bay,DHB,DHB,,,,,,,,,Alphabetical order,,,,,,,,7,0,18,2.57,"15,019","6,871",,,,,,,,,,4,22.2%,4,57.1%,"105,131",,,"105,131","153,000",68.7%,"105,131",,"105,131","48,100",45.8%,,,"48,100",45.8%,381,0.8%,318,,318,83.5%,4941,10.3%,2179,4.5%,"7,120",14.8%,8,44.4%,2,28.6%
HASTINGS DISTRICT,FLAXMERE LICENSING TRUST,AT LARGE,LT,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,At large,6,6,6,1.00,"1,007",,,,,,,,,,,5,83.3%,5,83.3%,"6,044",,,"6,044",,,,,,,,,,,,,,,,,,,,,,,,3,50.0%,3,50.0%
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,KAWEKA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,816",,,,,,,,,,,1,100.0%,1,100.0%,"1,811",5,0.28%,"1,816","2,590",70.1%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,MARAEKAKAHO,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,562",,,,,,,,,,,1,100.0%,1,100.0%,"1,562",0,0.00%,"1,562","2,620",59.6%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,POUKAWA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,069",,,,,,,,,,,1,100.0%,1,100.0%,"2,055",14,0.68%,"2,069","2,930",70.6%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,TUTIRA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,733",,,,,,,,,,,1,100.0%,1,100.0%,"1,724",9,0.52%,"1,733","2,530",68.5%,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Provincial,District,,Yes,13/10/2007 at 2.09pm,14/10/2007 at 7.28pm,Yes,"Flaxmere Licensing Trust, Hawke's Bay District Health Board",No,,Alphabetical order,"49,602",689,12,117,104,6,,1,0,3,3.00,"49,598","20,723",1,33.3%,0,y,Re-elected,1,100.0%,1,,,,,,"49,546",52,0.10%,"49,598","73,570",67.4%,"49,546",52,"49,598","20,673",41.7%,50,96.2%,"20,723",41.8%,117,0.6%,104,6,110,94.0%,12,0.1%,572,2.8%,584,2.8%,0,0.0%,0,0.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,FLAXMERE,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,,2,0,4,2.00,"3,042",850,2,50.0%,0,,,1,50.0%,1,,0,0.0%,0,0.0%,"6,082",1,0.02%,"6,083","10,350",58.8%,"6,082",1,"6,083","1,699",27.9%,1,100.0%,"1,700",27.9%,11,0.6%,10,0,10,90.9%,2,0.1%,19,1.1%,21,1.2%,1,25.0%,1,50.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HASTINGS,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,,6,0,12,2.00,"3,296","1,263",5,41.7%,0,,,5,83.3%,5,,0,0.0%,0,0.0%,"19,760",16,0.08%,"19,776","29,600",66.8%,"19,760",16,"19,776","7,559",38.3%,16,100.0%,"7,575",38.3%,47,0.6%,43,2,45,95.7%,22,0.3%,162,2.1%,184,2.4%,4,33.3%,3,50.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HAVELOCK NORTH,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,,2,0,5,2.50,"4,461","2,364",1,20.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"8,920",2,0.02%,"8,922","12,050",74.0%,"8,920",2,"8,922","4,725",53.0%,3,150.0%,"4,728",53.0%,31,0.7%,27,1,28,90.3%,7,0.1%,144,3.0%,151,3.2%,1,20.0%,1,50.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HERETAUNGA,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,,2,0,4,2.00,"3,821","1,793",1,25.0%,0,,,1,50.0%,1,,0,0.0%,0,0.0%,"7,632",9,0.12%,"7,641","10,900",70.1%,"7,632",9,"7,641","3,578",46.9%,8,88.9%,"3,586",46.9%,14,0.4%,13,0,13,92.9%,2,0.1%,156,4.4%,158,4.4%,1,25.0%,0,0.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,KAHURANAKI,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"3,628",,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,617",11,0.30%,"3,628","5,550",65.4%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,MOHAKA,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"3,548","1,523",2,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,535",13,0.37%,"3,548","5,120",69.3%,"3,535",13,"3,548","1,509",42.7%,14,107.7%,"1,523",42.9%,5,0.3%,2,3,5,100.0%,1,0.1%,87,5.7%,88,5.8%,1,50.0%,1,100.0%
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,No,,15:30:00,No,,No,,Alphabetical order,12428,178,N/A,N/A,34,N/A,,1,0,2,2.00,"12,428","5,358",1,50.0%,0,y,Re-elected,1,100.0%,1,,,,,,"12,406",22,0.18%,"12,428","17,670",70.3%,"12,406",22,"12,428","5,341",43.1%,17,77.3%,"5,358",43.1%,34,0.6%,34,0,34,100.0%,5,0.1%,184,3.4%,189,3.5%,0,0.0%,0,0.0%
