HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total Cost
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"5,275",.,.,.,.,.,"5,275"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,520
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"1,561",.,.,.,.,.,"1,561"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,"1,127",.,.,.,.,.,.,.,.,.,.,.,"1,127"
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,259
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,233,.,687,.,.,.,.,.,.,.,.,.,.,.,.,.,.,921
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,720,.,.,.,.,.,720
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,464
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,"16,561",.,.,.,.,.,.,.,.,.,"16,561"
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",581,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,581
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,520
AA25G,191,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,746",.,.,.,.,.,.,.,.,.,.,"1,475",.,.,.,.,"3,451",.,"6,672"
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,751,.,.,.,.,.,.,.,.,.,.,.,751
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,804",.,"13,804"
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,"34,248",.,.,.,.,.,.,"18,932",.,.,.,.,.,"53,180"
AA25G,410,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,365,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,594
AA26F,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383,.,383
AA26F,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,147",.,"1,147"
AA26G,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,"1,419",.,.,.,176,.,.,995,.,.,.,.,"2,590"
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,"1,917",.,.,.,.,.,.,.,.,.,"1,917"
AA26H,130,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,452
AA26H,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",411,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,411
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,093",.,"6,093"
AA26H,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,"6,277",15,.,.,.,.,.,"9,196",.,.,"2,457",.,.,383,.,"18,329"
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",359,.,.,.,.,.,"1,878",388,.,.,.,.,.,.,.,.,"24,785",.,"27,410"
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,"1,100",.,481,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,581"
AA26H,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,"43,732",.,.,.,.,.,.,"13,607",.,.,.,.,.,"57,339"
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,"2,189",.,.,.,.,.,.,.,.,.,.,505,.,.,.,.,"2,694"
AA26H,502,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,220,.,.,.,.,.,.,.,.,.,.,.,220
AA27Z,400,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,964,.,.,.,.,.,964
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
AA29F,100,Transient Ischaemic Attack with CC Score 0-4,.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,527,.,.,.,.,.,.,.,.,.,.,.,.,527
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA30E,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4","1,334",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,334"
AA30E,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,"2,253",.,.,.,.,.,.,.,.,.,.,.,"2,253"
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"5,303",.,.,.,.,.,"5,303"
AA30F,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"15,585",.,.,.,.,.,"15,585"
AA30F,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","2,001",.,.,.,.,.,.,.,.,.,.,738,.,.,.,.,.,.,"2,738"
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",718,.,.,.,.,.,"12,018",.,.,.,.,.,"7,064",.,.,.,"2,375",.,"22,174"
AA30F,303,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,174",.,.,.,.,.,"1,174"
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,"21,076",.,.,.,.,.,.,"371,900",.,.,.,.,.,"392,976"
AA31E,140,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA31E,191,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,751",.,"5,751"
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,614,376,.,.,552,.,.,.,.,.,.,.,.,"1,542"
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,"120,131",.,.,.,.,.,.,482,.,.,.,.,.,"120,613"
AA35F,410,Stroke with CC Score 0-3,.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
AB02Z,191,Complex Major Pain Procedures,.,.,.,"6,245","69,789",.,.,.,.,.,"2,540",.,.,"38,207",.,.,.,.,"116,780"
AB03Z,110,Complex Pain Procedures,.,.,.,.,.,.,.,.,"4,125",.,.,.,.,.,.,.,.,.,"4,125"
AB03Z,191,Complex Pain Procedures,"38,434",.,.,"83,726","417,269",.,.,.,.,.,"66,200","3,168",.,"122,135",.,"4,336","12,653",.,"747,920"
AB03Z,300,Complex Pain Procedures,.,.,.,"2,087",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,087"
AB03Z,400,Complex Pain Procedures,.,.,.,.,.,"8,430",.,.,.,.,.,.,.,.,.,.,.,.,"8,430"
AB03Z,810,Complex Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,717,.,.,.,.,.,717
AB04Z,100,Major Pain Procedures,.,.,.,.,.,.,.,.,.,"4,336",.,.,"1,083",.,.,.,933,.,"6,353"
AB04Z,110,Major Pain Procedures,.,.,.,.,.,.,.,.,"281,604",.,.,.,614,.,.,.,.,.,"282,218"
AB04Z,150,Major Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,"22,017",.,.,.,.,.,"22,017"
AB04Z,191,Major Pain Procedures,"147,710",.,.,"300,230","28,438",.,.,.,.,.,"28,675","131,063",.,"97,748",.,"170,202","107,739",.,"1,011,806"
AB04Z,400,Major Pain Procedures,.,.,.,.,.,"2,634",.,.,.,.,.,.,232,.,.,.,.,.,"2,866"
AB05Z,100,Intermediate Pain Procedures,.,.,.,.,.,"1,105",.,.,.,.,.,.,.,"2,269",.,.,.,.,"3,374"
AB05Z,101,Intermediate Pain Procedures,"2,643",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,643"
AB05Z,110,Intermediate Pain Procedures,.,.,.,.,.,951,.,.,"14,720",.,.,.,.,367,.,.,.,.,"16,038"
AB05Z,150,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,"1,498",.,.,.,.,.,"1,498"
AB05Z,160,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,151",.,"13,151"
AB05Z,191,Intermediate Pain Procedures,"33,377",.,.,"40,543","7,066",.,.,.,.,.,"21,488","26,204",.,"25,305",.,"18,095","61,730",.,"233,807"
AB05Z,300,Intermediate Pain Procedures,.,.,.,.,.,"1,229",.,.,.,.,.,.,"1,634",.,.,.,.,.,"2,863"
AB05Z,303,Intermediate Pain Procedures,.,.,.,251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
AB05Z,361,Intermediate Pain Procedures,.,.,.,.,.,.,"1,377",.,.,.,.,.,.,.,.,.,.,.,"1,377"
AB05Z,400,Intermediate Pain Procedures,.,.,.,.,.,"8,957",.,.,.,.,.,.,"42,863",.,.,.,.,.,"51,820"
AB05Z,410,Intermediate Pain Procedures,.,.,"39,033",.,.,"15,811",.,.,.,.,.,.,.,"1,515",.,.,.,.,"56,358"
AB05Z,502,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,122",.,"1,122"
AB06Z,110,Minor Pain Procedures,"6,234",.,.,.,.,"46,388",.,"4,784","151,156",.,.,.,417,864,.,.,"1,066",.,"210,907"
AB06Z,150,Minor Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,999,.,.,.,.,.,999
AB06Z,191,Minor Pain Procedures,"3,778",.,.,"4,708","2,117",.,.,.,.,.,443,"14,006",.,"2,752",.,"3,496","3,451",.,"34,752"
AB06Z,410,Minor Pain Procedures,.,.,"8,025",.,.,"13,748",.,.,.,.,.,.,.,505,.,.,.,.,"22,279"
AB07Z,100,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,"17,973",.,.,.,.,.,.,.,.,"11,048",.,.,.,.,.,"29,021"
AB07Z,191,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,"96,913","16,663",.,.,.,.,.,.,.,.,"55,613",.,.,.,.,"169,189"
AB08Z,110,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,.,"149,519",.,.,.,.,.,.,.,.,.,"149,519"
AB08Z,191,Pain Radiofrequency Treatments,794,.,.,"43,036",.,.,.,.,.,.,807,"147,045",.,.,.,.,.,.,"191,682"
AB08Z,410,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,.,622,.,.,.,.,.,.,.,.,.,622
AB09Z,100,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,.,863,.,.,.,.,.,.,.,.,863
AB09Z,110,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,"6,506",.,.,.,417,.,.,.,"1,261",.,"8,184"
AB09Z,140,Other Specified Pain Procedures,349,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,349
AB09Z,191,Other Specified Pain Procedures,"4,637",.,.,"12,186",419,.,.,.,.,.,597,.,.,"17,494",.,"1,084","13,419",.,"49,837"
AB09Z,400,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,232,.,.,.,.,.,232
AB10Z,191,Unspecified Pain Procedures,"5,558",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,558"
BZ01B,130,Enhanced Cataract Surgery with CC Score 0-1,"2,557",.,.,.,.,.,.,662,.,.,"1,758",.,688,.,.,.,.,.,"5,665"
BZ02A,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+","1,805",.,.,.,.,.,.,"5,294",.,"1,473",.,.,.,"2,225",.,.,.,.,"10,796"
BZ02B,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4","35,198",.,.,.,.,.,.,"57,571",.,"100,131","3,484",.,"2,969","30,963",.,"19,324",.,.,"249,640"
BZ02C,100,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,765,.,.,.,.,.,.,.,.,765
BZ02C,101,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,517,.,.,.,.,.,.,.,517
BZ02C,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,106,492",.,.,.,.,.,.,"230,944",.,"554,404","2,248,341",.,"861,687","523,404",.,"535,282",.,.,"6,060,554"
BZ02C,361,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
BZ03A,130,Non-Phacoemulsification Cataract Surgery with CC Score 1+,"1,805",.,.,.,.,.,.,.,.,736,.,.,"1,304","2,735",.,.,.,.,"6,581"
BZ03B,130,Non-Phacoemulsification Cataract Surgery with CC Score 0,"8,875",.,.,.,.,.,.,662,.,"2,209","13,570",.,"40,295","8,638",.,"1,932",.,.,"76,181"
BZ03B,370,Non-Phacoemulsification Cataract Surgery with CC Score 0,.,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233
BZ04A,130,Lens Capsulotomy with CC Score 1+,"7,449",.,.,.,.,.,.,.,.,.,.,.,"6,345",.,.,.,.,.,"13,794"
BZ04B,130,Lens Capsulotomy with CC Score 0,"169,292",.,.,.,.,.,.,.,.,747,.,.,"441,730",.,"13,240",.,.,.,"625,008"
BZ05A,130,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,"1,635",.,.,.,.,.,.,.,"1,635"
BZ05B,130,Major Oculoplastics Procedures with CC Score 0,"6,015",.,.,.,.,.,.,.,.,.,"7,448",.,"3,692",.,.,.,.,.,"17,155"
BZ05B,140,Major Oculoplastics Procedures with CC Score 0,529,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,529
BZ05B,160,Major Oculoplastics Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,"1,269",.,.,.,.,.,.,"4,577",.,"5,846"
BZ06B,130,"Intermediate Oculoplastics Procedures, 18 years and under","7,443",.,.,.,.,.,.,.,.,.,819,.,"36,786",390,.,.,.,.,"45,439"
BZ06C,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,353",.,.,.,.,.,.,.,.,.,.,.,.,743,.,.,.,.,"2,096"
BZ06C,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,824",.,"2,824"
BZ06C,330,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159,159
BZ06D,100,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,"7,793",.,.,.,.,.,.,"1,478",.,.,.,.,.,.,"9,271"
BZ06D,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","84,576",.,.,.,.,.,.,.,.,"1,100","92,931",.,"65,457","11,489",.,"13,561",.,.,"269,114"
BZ06D,140,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","5,212",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,678",.,"6,890"
BZ06D,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,"6,677",.,.,"1,392",.,.,.,"20,532",.,"28,601"
BZ06D,320,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,620,.,.,.,.,.,.,.,.,.,.,.,.,620
BZ06D,330,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,362,"6,581","1,147",.,.,.,.,.,.,.,.,.,.,477,"8,567"
BZ07B,100,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,420,.,.,.,.,913,.,.,.,.,.,.,.,.,"1,333"
BZ07B,130,"Minor Oculoplastics Procedures, 18 years and under","25,190",.,.,.,.,.,.,.,.,"1,100",.,.,"58,485","5,689",.,.,.,.,"90,465"
BZ07B,140,"Minor Oculoplastics Procedures, 18 years and under","2,557",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,376",.,"3,933"
BZ07B,160,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"31,202",.,.,.,995,.,"32,197"
BZ07B,171,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,515",.,.,.,"2,770",.,"4,285"
BZ07C,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+","5,413",.,.,.,.,.,.,.,.,.,.,.,652,443,.,.,.,.,"6,508"
BZ07C,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,298",.,"1,298"
BZ07D,100,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,"1,720",.,.,.,.,.,.,.,.,.,.,"1,292",933,.,"3,946"
BZ07D,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","18,947",.,.,.,.,.,.,.,.,"3,300","4,084",.,"7,437","8,921",.,.,.,.,"42,690"
BZ07D,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,"2,018",.,.,.,.,.,.,"7,184",.,"9,202"
BZ07E,100,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",754,.,.,.,"4,959",.,.,"2,986",.,.,594,"1,310",.,512,.,"3,207","1,064",.,"15,387"
BZ07E,120,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"1,882",.,.,.,.,.,"1,882"
BZ07E,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","284,221",.,.,.,.,.,.,.,.,"6,276","98,087",.,"503,008","55,849","7,762","29,386",.,.,"984,590"
BZ07E,140,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","5,700",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,356",.,"9,056"
BZ07E,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,"8,570",.,.,"4,502",.,.,.,"24,453",.,"37,524"
BZ07E,330,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,904,"5,333",221,.,.,.,.,.,"1,038",.,.,.,.,"1,431","8,926"
BZ08B,130,"Major Orbits or Lacrimal Procedures, 18 years and under",827,.,.,.,.,.,.,.,.,.,.,.,"2,307",.,.,.,.,.,"3,134"
BZ08C,130,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,815,.,.,.,.,.,.,.,815
BZ08D,130,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","1,353",.,.,.,.,.,.,.,.,.,"2,511",.,"2,777",.,.,.,.,.,"6,641"
BZ09B,130,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"14,084",.,.,.,.,.,"14,084"
BZ09D,120,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,781,.,.,.,.,.,.,.,.,781
BZ09D,130,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","32,408",.,.,.,.,.,.,.,.,.,"3,337",.,"60,170","3,091",.,.,.,.,"99,006"
