HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
AA06F,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"10,609",.,.,.,.,"10,609"
AA06F,420,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"18,500",.,.,.,.,"18,500"
AA07C,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"14,196",.,.,.,.,"14,196"
AA07C,420,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"16,449",.,.,.,.,"16,449"
AA07D,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"9,943",.,.,.,.,"9,943"
AA09D,100,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"11,228",.,.,.,.,"11,228"
AA09D,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"14,706",.,.,.,.,"14,706"
AA09E,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,380",.,.,.,.,"6,380"
AA11Z,150,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"14,289",.,.,.,.,"14,289"
AA12C,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"7,459",.,.,.,.,"7,459"
AA12D,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"10,007",.,.,.,.,"10,007"
AA12E,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"10,600",.,.,.,.,"10,600"
AA12E,302,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,517",.,.,.,.,"6,517"
AA12E,400,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"15,819",.,.,.,.,"15,819"
AA13C,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"9,951",.,.,.,.,"9,951"
AA13C,420,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"13,533",.,.,.,.,"13,533"
AA13D,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"9,066",.,.,.,.,"9,066"
AA13D,400,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"8,455",.,.,.,.,"8,455"
AA15C,140,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+","8,006",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,006"
AA15D,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"15,348",.,.,.,.,"15,348"
AA15E,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"13,833",.,.,.,.,"13,833"
AA16Z,150,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,"10,785",.,.,.,.,"10,785"
AA17D,150,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"9,980",.,.,.,.,"9,980"
AA18C,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"6,713",.,.,.,.,"6,713"
AA18C,400,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"9,645",.,.,.,.,"9,645"
AA18D,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,901",.,.,.,.,"6,901"
AA18D,400,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"11,395",.,.,.,.,"11,395"
AA19C,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"8,590",.,.,.,.,"8,590"
AA19C,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"5,240",.,.,.,.,"5,240"
AA19C,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"13,619",.,.,.,.,"13,619"
AA19D,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"9,055",.,.,.,.,"9,055"
AA19D,300,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"5,793",.,.,.,.,"5,793"
AA19E,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"8,075",.,.,.,.,"8,075"
AA19E,400,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,430",.,.,.,.,"6,430"
AA19E,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"8,862",.,.,.,.,"8,862"
AA19E,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"8,474",.,.,.,.,"8,474"
AA20C,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"7,929",.,.,.,.,"7,929"
AA20C,300,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,624","11,624"
AA20C,400,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"6,039",.,.,.,.,"6,039"
AA21C,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"13,702",.,.,.,.,"13,702"
AA21C,420,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"19,488",.,.,.,.,"19,488"
AA21D,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,714",.,.,.,.,"6,714"
AA21D,171,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"29,850",.,.,.,.,"29,850"
AA21D,300,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"3,477",.,.,.,.,"3,477"
AA21E,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"6,842",.,.,.,.,"6,842"
AA21E,420,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"3,622",.,.,.,.,"3,622"
AA21E,823,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,"5,931",.,.,.,.,.,.,.,.,.,.,.,"5,931"
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"7,529",.,.,.,.,"7,529"
AA21F,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,334","6,334"
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"4,446",.,.,.,.,"4,446"
AA21F,421,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"20,014",.,.,.,.,"20,014"
AA21G,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"6,529",.,.,.,.,"6,529"
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+","15,779",.,.,.,.,.,.,.,.,.,.,"9,879",.,.,.,.,"11,059"
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,"2,900",.,.,.,.,.,.,.,.,.,.,.,"2,900"
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,"2,451",.,.,.,"4,509",.,.,"3,249",.,"14,060",.,.,"5,910"
AA22D,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"4,080",.,.,.,.,"4,080"
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,983,.,.,.,.,.,.,.,.,.,.,983
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"20,192",.,.,.,.,"20,192"
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,"17,232",.,.,.,"11,149",.,"9,175",.,"27,038",.,.,"16,801"
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"4,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,068"
AA22E,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"2,352",.,.,.,.,"2,352"
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",877,"2,440",.,.,"2,941",.,"3,693",.,"7,607",.,.,"2,959",.,"3,013",.,.,"3,038"
AA22E,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"5,607",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,607"
AA22E,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,815,.,.,.,.,815
AA22E,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","9,990",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"9,990"
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"9,641",.,.,.,.,"9,641"
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","1,105",.,.,.,"3,263","4,923",.,.,.,"6,833",.,"2,857",.,.,.,597,"3,047"
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"1,323",.,.,.,.,"1,323"
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"5,772",.,.,.,.,"5,772"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","2,367","1,220",.,"4,989","2,206","2,611","5,275",.,"2,630",.,"1,544","2,421",.,"2,845",.,"1,821","2,523"
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,"1,267",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,267"
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,854
AA22F,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,911",.,.,.,.,"6,911"
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,"1,347",.,.,"1,023",.,.,.,.,.,.,.,.,.,.,"1,254"
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,408",.,.,.,.,"6,408"
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","2,763","1,945","4,921",.,"1,088",.,.,.,.,"1,439","1,587","2,417","5,700","9,013",.,"2,835","3,297"
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"4,971",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,364","3,168"
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,581",.,.,.,.,"4,581"
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,632",.,.,.,.,"4,632"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,148","2,021","2,314","2,457","1,761","1,334","2,338",.,"1,408",.,"2,616","1,460",.,"1,700",.,"1,951","1,862"
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"4,112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,112"
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,411",.,.,"2,188",.,.,.,.,"1,311",.,.,.,.,"1,599",.,.,"2,018"
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"6,421",.,.,.,.,"6,421"
AA22G,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"9,757",.,.,.,.,"9,757"
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,867",.,.,.,.,"4,867"
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,210","2,593","1,642",.,"2,699","3,517",.,.,"1,098",.,"1,244","2,816",.,"4,184",.,"1,194","2,597"
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"4,473",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,473"
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,"13,048",.,.,.,"14,929",.,.,.,"13,989"
AA23D,100,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"20,989",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,989"
AA23D,150,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,"3,346",.,.,.,.,"3,346"
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"4,879",.,.,.,.,"7,385",.,.,.,.,.,.,.,.,"2,568","4,456"
AA23D,303,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,"12,210",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"12,210"
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"4,075",.,.,"1,813",.,.,.,"1,829",.,.,.,.,.,.,.,"2,721"
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"5,939",.,.,.,.,.,.,.,.,.,.,.,.,"5,393",.,.,"5,666"
AA23E,110,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"7,081",.,.,.,.,"7,081"
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"3,213",.,.,.,.,"3,213"
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"2,630","2,948",.,"7,938",817,.,.,.,"1,754",.,"7,244","4,186",.,"1,506",.,"1,100","3,571"
AA23E,370,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,"4,009",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,009"
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,"5,371","4,538",.,"3,021","1,407",.,.,"4,634","14,745","11,183",.,"16,693","9,013",.,"4,476","6,199"
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"2,132",.,.,"4,866","2,190",.,.,.,.,.,.,"1,696",.,"5,177",.,.,"3,042"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"3,131",.,.,.,.,"3,131"
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"2,454","2,440",786,"2,948","1,372","2,009","1,583",.,"1,628",.,985,"1,705",.,"2,343",.,"2,063","1,939"
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,"1,121",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,121"
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"4,604","3,292",.,.,"2,840","3,634",.,.,"1,098","3,237","3,301","4,767",.,"6,867",.,"4,178","3,730"
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,"1,145",.,"1,186",.,.,.,.,.,.,.,.,.,.,"1,159"
AA23G,130,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,308
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"3,358",.,.,.,.,"3,358"
AA23G,180,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,"5,366",.,.,.,.,.,.,.,.,.,.,.,"5,366"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"2,118","1,220",977,"2,268","1,470","1,732",.,.,"1,219",.,"1,914",882,.,"1,004",.,917,"1,522"
AA23G,302,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"2,774",.,.,.,.,"2,774"
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,"3,521",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,521"
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,988,"3,166",.,"2,175",.,.,.,.,.,"2,330","2,808",.,"5,794",.,"1,791","2,464"
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",877,"4,879",.,.,"2,614",.,.,.,"4,509",.,"14,274",.,.,.,.,.,"5,339"
AA24C,361,"Brain Tumours or Cerebral Cysts, with CC Score 11+","11,462",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,462"
AA24C,370,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,.,"7,519",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,519"
AA24C,430,"Brain Tumours or Cerebral Cysts, with CC Score 11+","18,785",.,.,.,.,.,.,.,"8,048",.,.,.,"11,400",.,.,"4,178","10,092"
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,"3,050",.,"13,607",.,"6,628","8,906",.,"7,891",.,.,"4,020",.,.,.,"6,235","6,252"
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"1,141",.,.,.,.,"1,141"
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,"4,952",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,952"
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","13,260",.,.,.,.,.,.,.,"4,390",.,.,"1,829","17,915",.,.,.,"9,349"
AA24E,100,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,"2,712",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,712"
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","3,726","5,286","5,373",.,"5,555","5,724","4,220",.,"4,885",.,"3,102","2,504",.,.,.,"1,100","3,601"
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"5,060",.,.,.,.,"5,060"
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"4,533",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,533"
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","6,998","1,296",.,.,.,.,.,.,.,.,.,.,"6,107",.,.,"2,462","3,047"
AA24F,100,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,"2,628",.,.,.,.,.,.,.,.,.,.,.,"2,628"
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"4,143",.,.,.,.,"4,143"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","2,849","3,298",.,"3,477","2,614","1,958","1,055",.,"4,509",.,"3,403","2,340",.,"3,013",.,"2,323","2,839"
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"1,305",.,.,.,.,"1,305"
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"5,140",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,140"
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","7,367","2,315",.,.,"1,813",.,.,.,.,.,.,"2,711",.,"12,875",.,"4,476","4,823"
AA24G,130,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"2,753",.,.,.,.,"2,753"
