HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total FCEs
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA25G,191,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",3,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,9,.,18
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,.,27
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,65,.,.,.,.,.,.,79,.,.,.,.,.,144
AA25G,410,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
AA26F,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26F,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26G,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,3,.,.,.,1,.,.,3,.,.,.,.,7
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,3
AA26H,130,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26H,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,.,6
AA26H,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,12,1,.,.,.,.,.,10,.,.,6,.,.,1,.,30
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",1,.,.,.,.,.,5,1,.,.,.,.,.,.,.,.,80,.,87
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,5,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
AA26H,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,83,.,.,.,.,.,.,58,.,.,.,.,.,141
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,6,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,7
AA26H,502,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA27Z,400,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA29F,100,Transient Ischaemic Attack with CC Score 0-4,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA30E,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA30E,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,6
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,22
AA30F,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,31
AA30F,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",3,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,6
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",2,.,.,.,.,.,32,.,.,.,.,.,50,.,.,.,4,.,88
AA30F,303,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,40,.,.,.,.,.,.,"1,563",.,.,.,.,.,"1,603"
AA31E,140,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA31E,191,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,15
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,1,1,.,.,1,.,.,.,.,.,.,.,.,3
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,228,.,.,.,.,.,.,2,.,.,.,.,.,230
AA35F,410,Stroke with CC Score 0-3,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AB02Z,191,Complex Major Pain Procedures,.,.,.,4,20,.,.,.,.,.,4,.,.,94,.,.,.,.,122
AB03Z,110,Complex Pain Procedures,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,6
AB03Z,191,Complex Pain Procedures,42,.,.,58,143,.,.,.,.,.,97,3,.,270,.,8,33,.,654
AB03Z,300,Complex Pain Procedures,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
AB03Z,400,Complex Pain Procedures,.,.,.,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,16
AB03Z,810,Complex Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AB04Z,100,Major Pain Procedures,.,.,.,.,.,.,.,.,.,5,.,.,1,.,.,.,1,.,7
AB04Z,110,Major Pain Procedures,.,.,.,.,.,.,.,.,403,.,.,.,1,.,.,.,.,.,404
AB04Z,150,Major Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,.,29
AB04Z,191,Major Pain Procedures,195,.,.,305,49,.,.,.,.,.,34,103,.,270,.,314,281,.,"1,551"
AB04Z,400,Major Pain Procedures,.,.,.,.,.,5,.,.,.,.,.,.,1,.,.,.,.,.,6
AB05Z,100,Intermediate Pain Procedures,.,.,.,.,.,2,.,.,.,.,.,.,.,8,.,.,.,.,10
AB05Z,101,Intermediate Pain Procedures,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AB05Z,110,Intermediate Pain Procedures,.,.,.,.,.,2,.,.,21,.,.,.,.,1,.,.,.,.,24
AB05Z,150,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
AB05Z,160,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,19
AB05Z,191,Intermediate Pain Procedures,47,.,.,20,12,.,.,.,.,.,32,19,.,45,.,28,161,.,364
AB05Z,300,Intermediate Pain Procedures,.,.,.,.,.,2,.,.,.,.,.,.,12,.,.,.,.,.,14
AB05Z,303,Intermediate Pain Procedures,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB05Z,361,Intermediate Pain Procedures,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
AB05Z,400,Intermediate Pain Procedures,.,.,.,.,.,17,.,.,.,.,.,.,185,.,.,.,.,.,202
AB05Z,410,Intermediate Pain Procedures,.,.,107,.,.,69,.,.,.,.,.,.,.,3,.,.,.,.,179
AB05Z,502,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AB06Z,110,Minor Pain Procedures,9,.,.,.,.,56,.,3,236,.,.,.,1,2,.,.,1,.,308
AB06Z,150,Minor Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AB06Z,191,Minor Pain Procedures,7,.,.,9,4,.,.,.,.,.,1,12,.,11,.,9,9,.,62
AB06Z,410,Minor Pain Procedures,.,.,22,.,.,60,.,.,.,.,.,.,.,1,.,.,.,.,83
AB07Z,100,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,3
AB07Z,191,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,7,18,.,.,.,.,.,.,.,.,11,.,.,.,.,36
AB08Z,110,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,.,245,.,.,.,.,.,.,.,.,.,245
AB08Z,191,Pain Radiofrequency Treatments,1,.,.,31,.,.,.,.,.,.,1,122,.,.,.,.,.,.,155
AB08Z,410,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1
AB09Z,100,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AB09Z,110,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,9,.,.,.,1,.,.,.,1,.,11
AB09Z,140,Other Specified Pain Procedures,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB09Z,191,Other Specified Pain Procedures,6,.,.,14,1,.,.,.,.,.,1,.,.,35,.,2,35,.,94
AB09Z,400,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AB10Z,191,Unspecified Pain Procedures,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
BZ01B,130,Enhanced Cataract Surgery with CC Score 0-1,3,.,.,.,.,.,.,1,.,.,2,.,1,.,.,.,.,.,7
BZ02A,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+",2,.,.,.,.,.,.,8,.,2,.,.,.,2,.,.,.,.,14
BZ02B,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",39,.,.,.,.,.,.,87,.,136,4,.,4,31,.,20,.,.,321
BZ02C,100,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
BZ02C,101,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
BZ02C,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,226",.,.,.,.,.,.,349,.,753,"2,580",.,"1,157",522,.,554,.,.,"7,141"
BZ02C,361,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ03A,130,Non-Phacoemulsification Cataract Surgery with CC Score 1+,2,.,.,.,.,.,.,.,.,1,.,.,1,2,.,.,.,.,6
BZ03B,130,Non-Phacoemulsification Cataract Surgery with CC Score 0,10,.,.,.,.,.,.,1,.,3,16,.,52,9,.,2,.,.,93
BZ03B,370,Non-Phacoemulsification Cataract Surgery with CC Score 0,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ04A,130,Lens Capsulotomy with CC Score 1+,11,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,20
BZ04B,130,Lens Capsulotomy with CC Score 0,250,.,.,.,.,.,.,.,.,1,.,.,621,.,45,.,.,.,917
BZ05A,130,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,2
BZ05B,130,Major Oculoplastics Procedures with CC Score 0,5,.,.,.,.,.,.,.,.,.,9,.,4,.,.,.,.,.,18
BZ05B,140,Major Oculoplastics Procedures with CC Score 0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ05B,160,Major Oculoplastics Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,3,.,4
BZ06B,130,"Intermediate Oculoplastics Procedures, 18 years and under",6,.,.,.,.,.,.,.,.,.,1,.,23,1,.,.,.,.,31
BZ06C,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ06C,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
BZ06C,330,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
BZ06D,100,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,11,.,.,.,.,.,.,1,.,.,.,.,.,.,12
BZ06D,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",62,.,.,.,.,.,.,.,.,1,112,.,84,14,.,15,.,.,288
BZ06D,140,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,8
BZ06D,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,6,.,.,1,.,.,.,16,.,23
BZ06D,320,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ06D,330,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,2,10,3,.,.,.,.,.,.,.,.,.,.,3,18
BZ07B,100,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,2
BZ07B,130,"Minor Oculoplastics Procedures, 18 years and under",23,.,.,.,.,.,.,.,.,1,.,.,62,12,.,.,.,.,98
BZ07B,140,"Minor Oculoplastics Procedures, 18 years and under",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,4
BZ07B,160,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,1,.,18
BZ07B,171,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2,.,3
BZ07C,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",4,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,6
BZ07C,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
BZ07D,100,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,1,1,.,4
BZ07D,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",16,.,.,.,.,.,.,.,.,3,5,.,11,15,.,.,.,.,50
BZ07D,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,6,.,8
BZ07E,100,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",1,.,.,.,6,.,.,3,.,.,1,1,.,1,.,3,1,.,17
BZ07E,120,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
BZ07E,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",249,.,.,.,.,.,.,.,.,7,120,.,778,118,16,30,.,.,"1,318"
BZ07E,140,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,14
BZ07E,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,8,.,.,5,.,.,.,20,.,33
BZ07E,330,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,5,11,1,.,.,.,.,.,2,.,.,.,.,9,28
BZ08B,130,"Major Orbits or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,3
BZ08C,130,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
BZ08D,130,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",1,.,.,.,.,.,.,.,.,.,3,.,3,.,.,.,.,.,7
BZ09B,130,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,11
BZ09D,120,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
BZ09D,130,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",29,.,.,.,.,.,.,.,.,.,4,.,71,3,.,.,.,.,107
BZ10B,130,"Minor Orbits or Lacrimal Procedures, 18 years and under",26,.,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,.,86
BZ10C,130,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ10D,120,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
BZ10D,130,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",21,.,.,.,.,.,.,.,.,2,1,.,87,13,4,5,.,.,133
BZ11A,130,"Major Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,3
BZ11B,130,"Major Cornea or Sclera Procedures, with CC Score 0",5,.,.,.,.,.,.,.,.,.,4,.,2,.,.,.,.,.,11
BZ12A,130,"Intermediate Cornea or Sclera Procedures, with CC Score 1+",3,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,5
BZ12B,130,"Intermediate Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,10,.,6,.,.,.,.,.,19
BZ13A,130,"Minor Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,1,.,.,11,.,2,1,.,.,.,.,16
BZ13B,130,"Minor Cornea or Sclera Procedures, with CC Score 0",4,.,.,.,.,.,.,.,.,.,40,.,26,.,.,.,.,.,70
BZ14A,130,"Major Ocular Motility Procedures, 19 years and over",3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,4
BZ14B,130,"Major Ocular Motility Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ15B,130,"Intermediate Ocular Motility Procedures, 18 years and under",59,.,.,.,.,.,.,.,.,15,4,.,107,.,.,.,.,.,185
BZ15C,130,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
BZ15D,120,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
